depTime(sec),cycleTime(sec)
25201,2399
25800,2400
26400,2400
27000,2400
27600,2400
28200,2549
28800,2480
29400,2463
30000,2412
30749,2251
31280,2353
31863,2337
32412,2388
33000,2426
33633,2618
34200,2400
34800,2400
35426,2374
36251,2345
36600,2400
37200,2400
37800,2400
38596,2655
39000,2400
39600,2400
40200,2400
41251,2450
41400,2400
42000,2400
42600,2400
43701,2645
43800,2550
44400,2714
45000,3012
46346,4218
46350,4217
47114,3538
48012,3808
50564,4873
50567,4873
50652,4791
51820,3626
55437,5179
55440,5179
55443,5179
55446,5179
