iBus,busID,iStop,arrTime,vacancy,paxDemand,paxAlight,paxWait,paxBoard,paxRemain,newVacancy,avgWaitTime
1,10000,1,1,65,0,0,0,0,0,65,0
1,10000,2,164,65,0,0,0,0,0,65,0
1,10000,3,264,65,0,0,0,0,0,65,0
1,10000,4,357,65,3,0,3,3,0,62,0
1,10000,5,600,62,4,3,4,4,0,61,0
1,10000,6,692,61,0,1,0,0,0,62,0
1,10000,7,740,62,1,2,1,1,0,63,0
1,10000,8,825,63,0,1,0,0,0,64,0
1,10000,9,873,64,2,0,2,2,0,62,0
1,10000,10,963,62,5,1,5,5,0,58,0
1,10000,11,1320,58,4,0,4,4,0,54,0
1,10000,12,1397,54,1,1,1,1,0,54,0
1,10000,13,1439,54,6,4,6,6,0,52,0
1,10000,14,1680,52,3,0,3,3,0,49,0
1,10000,15,1739,49,11,0,11,11,0,38,0
1,10000,16,1824,38,16,3,16,16,0,25,0
1,10000,17,1935,25,8,0,8,8,0,17,0
1,10000,18,2008,17,15,18,15,15,0,20,0
2,20000,1,600,65,0,0,0,0,0,65,NaN
2,20000,2,753,65,1,0,1,1,0,64,294.5
2,20000,3,852,64,1,0,1,1,0,63,294
2,20000,4,944,63,2,0,2,2,0,61,293.5
2,20000,5,1200,61,4,2,4,4,0,59,300
2,20000,6,1287,59,0,3,0,0,0,62,NaN
2,20000,7,1336,62,1,3,1,1,0,64,298
2,20000,8,1422,64,0,1,0,0,0,65,NaN
2,20000,9,1467,65,2,0,2,2,0,63,297
2,20000,10,1554,63,2,0,2,2,0,61,295.5
2,20000,11,1920,61,1,1,1,1,0,61,300
2,20000,12,1991,61,1,0,1,1,0,60,297
2,20000,13,2030,60,2,1,2,2,0,59,295.5
2,20000,14,2280,59,2,1,2,2,0,58,300
2,20000,15,2337,58,0,0,0,0,0,58,NaN
2,20000,16,2397,58,9,2,9,9,0,51,286.5
2,20000,17,2489,51,0,1,0,0,0,52,NaN
2,20000,18,2548,52,2,3,2,2,0,53,270
3,30000,1,1200,65,1,0,1,1,0,64,300
3,30000,2,1351,64,2,0,2,2,0,62,299
3,30000,3,1449,62,5,0,5,5,0,57,298.5
3,30000,4,1546,57,4,1,4,4,0,54,301
3,30000,5,1800,54,0,2,0,0,0,56,NaN
3,30000,6,1876,56,0,1,0,0,0,57,NaN
3,30000,7,1918,57,1,2,1,1,0,58,291
3,30000,8,2000,58,0,0,0,0,0,58,NaN
3,30000,9,2040,58,1,0,1,1,0,57,286.5
3,30000,10,2122,57,0,0,0,0,0,57,NaN
3,30000,11,2520,57,0,0,0,0,0,57,NaN
3,30000,12,2587,57,4,0,4,4,0,53,298
3,30000,13,2633,53,3,0,3,3,0,50,301.5
3,30000,14,2880,50,1,0,1,1,0,49,300
3,30000,15,2938,49,4,0,4,4,0,45,300.5
3,30000,16,3017,45,3,1,3,3,0,43,310
3,30000,17,3112,43,4,1,4,4,0,40,311.5
3,30000,18,3183,40,3,5,3,3,0,42,317.5
4,40000,1,1800,65,0,0,0,0,0,65,NaN
4,40000,2,1944,65,1,0,1,1,0,64,296.5
4,40000,3,2037,64,0,0,0,0,0,64,NaN
4,40000,4,2121,64,3,0,3,3,0,61,287.5
4,40000,5,2400,61,3,3,3,3,0,61,300
4,40000,6,2481,61,0,0,0,0,0,61,NaN
4,40000,7,2520,61,4,2,4,4,0,59,301
4,40000,8,2608,59,0,2,0,0,0,61,NaN
4,40000,9,2654,61,1,1,1,1,0,61,307
4,40000,10,2741,61,0,0,0,0,0,61,NaN
4,40000,11,3120,61,2,1,2,2,0,60,300
4,40000,12,3197,60,1,3,1,1,0,62,305
4,40000,13,3246,62,2,1,2,2,0,61,306.5
4,40000,14,3480,61,2,0,2,2,0,59,300
4,40000,15,3539,59,4,0,4,4,0,55,300.5
4,40000,16,3614,55,3,1,3,3,0,53,298.5
4,40000,17,3701,53,2,0,2,2,0,51,294.5
4,40000,18,3765,51,6,5,6,6,0,50,291
5,10001,1,2400,20,1,1,1,1,0,20,300
5,10001,2,2544,20,0,0,0,0,0,20,NaN
5,10001,3,2636,20,0,0,0,0,0,20,NaN
5,10001,4,2723,20,3,1,3,3,0,18,301
5,10001,5,3000,18,6,8,6,6,0,20,300
5,10001,6,3109,20,0,3,0,0,0,23,NaN
5,10001,7,3163,23,1,2,1,1,0,24,321.5
5,10001,8,3249,24,0,3,0,0,0,27,NaN
5,10001,9,3303,27,4,1,4,4,0,24,324.5
5,10001,10,3400,24,1,1,1,1,0,24,329.5
5,10001,11,3720,24,5,0,5,5,0,19,300
5,10001,12,3800,19,1,0,1,1,0,18,301.5
5,10001,13,3843,18,5,0,5,5,0,13,298.5
5,10001,14,4080,13,0,1,0,0,0,14,NaN
5,10001,15,4140,14,2,0,2,2,0,12,300.5
5,10001,16,4218,12,7,1,7,7,0,6,302
5,10001,17,4325,6,4,0,4,4,0,2,312
5,10001,18,4397,2,9,7,9,9,0,0,316
6,20001,1,3000,53,6,12,6,6,0,59,300
6,20001,2,3194,59,4,0,4,4,0,55,325
6,20001,3,3301,55,7,0,7,7,0,48,332.5
6,20001,4,3406,48,18,2,18,18,0,32,341.5
6,20001,5,3600,32,12,12,12,12,0,32,300
6,20001,6,3723,32,1,5,1,1,0,36,307
6,20001,7,3780,36,7,13,7,7,0,42,308.5
6,20001,8,3900,42,1,11,1,1,0,52,325.5
6,20001,9,3974,52,9,3,9,9,0,46,335.5
6,20001,10,4089,46,6,2,6,6,0,42,344.5
6,20001,11,4320,42,11,2,11,11,0,33,300
6,20001,12,4420,33,8,4,8,8,0,29,310
6,20001,13,4488,29,17,6,17,17,0,18,322.5
6,20001,14,4736,18,9,2,9,9,0,11,328
6,20001,15,4818,11,23,0,23,11,12,0,339
6,20001,16,4917,0,39,9,39,9,30,0,349.5
6,20001,17,5046,0,17,2,17,2,15,0,360.5
6,20001,18,5118,0,33,34,33,33,0,1,360.5
7,30001,1,3600,42,1,23,1,1,0,64,300
7,30001,2,3797,64,4,0,4,4,0,60,301.5
7,30001,3,3904,60,6,0,6,6,0,54,301.5
7,30001,4,4010,54,12,2,12,12,0,44,302
7,30001,5,4200,44,13,15,13,13,0,46,300
7,30001,6,4340,46,2,7,2,2,0,51,308.5
7,30001,7,4411,51,7,14,7,7,0,58,315.5
7,30001,8,4536,58,1,7,1,1,0,64,318
7,30001,9,4607,64,8,1,8,8,0,57,316.5
7,30001,10,4721,57,6,2,6,6,0,53,316
7,30001,11,4920,53,10,2,10,10,0,45,300
7,30001,12,5018,45,7,3,7,7,0,41,299
7,30001,13,5082,41,14,5,14,14,0,32,297
7,30001,14,5317,32,6,2,6,6,0,28,290.5
7,30001,15,5390,28,18,0,30,28,2,0,408.57
7,30001,16,5518,0,29,7,59,7,52,0,601
7,30001,17,5629,0,15,2,30,2,28,0,583
7,30001,18,5696,0,30,29,30,29,1,0,289
8,40001,1,4200,50,1,15,1,1,0,64,300
8,40001,2,4394,64,7,0,7,7,0,57,298.5
8,40001,3,4513,57,9,0,9,9,0,48,304.5
8,40001,4,4630,48,19,2,19,19,0,31,310
8,40001,5,4803,31,18,17,18,18,0,30,301.5
8,40001,6,4959,30,2,11,2,2,0,39,309.5
8,40001,7,5038,39,8,19,8,8,0,50,313.5
8,40001,8,5174,50,3,12,3,3,0,59,319
8,40001,9,5256,59,10,6,10,10,0,55,324.5
8,40001,10,5379,55,11,3,11,11,0,47,329
8,40001,11,5520,47,12,2,12,12,0,37,300
8,40001,12,5619,37,7,3,7,7,0,33,300.5
8,40001,13,5678,33,18,6,18,18,0,21,298
8,40001,14,5903,21,8,2,8,8,0,15,293
8,40001,15,5973,15,18,0,20,15,5,0,330.37
8,40001,16,6060,0,38,11,90,11,79,0,1143
8,40001,17,6173,0,18,2,46,2,44,0,1127
8,40001,18,6238,0,32,36,33,33,0,3,279.21
9,10002,1,4800,0,4,47,4,4,0,43,300
9,10002,2,5066,43,5,1,5,5,0,39,336
9,10002,3,5182,39,6,0,6,6,0,33,334.5
9,10002,4,5290,33,13,2,13,13,0,22,330
9,10002,5,5444,22,13,11,13,13,0,20,320.5
9,10002,6,5572,20,5,9,5,5,0,24,306.5
9,10002,7,5645,24,6,17,6,6,0,35,303.5
9,10002,8,5769,35,1,9,1,1,0,43,297.5
9,10002,9,5830,43,6,5,6,6,0,42,287
9,10002,10,5931,42,3,1,3,3,0,40,276
9,10002,11,6120,40,11,4,11,11,0,33,300
