time,stop1,stop2,stop3,stop4,stop5,stop6,stop7,stop8,stop9,stop10,stop11,stop12,stop13,stop14,stop15,stop16,stop17,stop18
1,0,0,0,3,4,0,1,0,2,5,4,1,6,3,11,16,8,15
600,0,1,1,2,4,0,1,0,2,2,1,1,2,2,0,9,0,2
1200,1,2,5,4,0,0,1,0,1,0,0,4,3,1,4,3,4,3
1800,0,1,0,3,3,0,4,0,1,0,2,1,2,2,4,3,2,6
2400,1,0,0,3,6,0,1,0,4,1,5,1,5,0,2,7,4,9
3000,6,4,7,18,12,1,7,1,9,6,11,8,17,9,11,9,2,33
3600,1,4,6,12,13,2,7,1,8,6,10,7,14,6,28,7,2,29
4200,1,7,9,19,18,2,8,3,10,11,12,7,18,8,15,11,2,33
4800,4,5,6,13,13,5,6,1,6,3,11,6,10,6,18,6,1,25
5549,4,5,8,7,12,2,3,3,6,5,6,6,10,6,16,19,0,19
6080,3,3,10,15,18,8,5,4,7,5,12,7,12,8,13,9,3,25
6663,7,6,9,8,11,4,4,3,5,4,8,4,9,5,5,7,0,17
7212,8,3,3,6,10,6,3,4,1,2,5,4,4,4,10,5,0,15
7800,12,5,8,6,12,7,2,5,2,3,4,3,6,5,15,16,2,15
8433,11,6,10,12,23,13,4,10,7,5,12,5,9,7,14,36,1,19
9000,9,5,9,5,11,7,1,3,1,0,3,3,2,6,4,39,0,4
9600,15,2,0,0,5,6,1,5,0,1,5,3,2,2,2,25,0,5
10226,8,10,9,0,9,11,0,8,2,1,3,1,2,6,6,37,0,4
11051,11,10,21,0,9,19,2,15,0,0,8,3,0,6,4,49,8,3
11400,1,1,8,19,6,6,0,2,1,0,2,2,2,4,2,5,11,1
12000,8,2,7,5,27,7,2,5,1,0,4,1,1,4,8,5,13,2
12600,14,2,8,5,13,6,2,11,7,0,4,0,7,7,4,7,18,2
13396,31,0,10,12,19,8,11,15,10,0,6,0,14,14,18,13,12,10
13800,7,0,4,2,2,1,5,1,0,0,4,0,1,0,0,4,1,0
14400,18,1,7,5,6,1,9,1,2,3,1,0,9,3,3,8,6,2
15000,23,2,9,3,7,4,15,3,4,3,3,0,8,7,5,10,2,1
16051,38,3,10,2,8,5,24,5,0,7,3,0,9,18,10,15,9,1
16200,3,0,0,0,1,0,1,0,0,0,1,1,1,2,3,1,0,0
16800,7,1,9,3,6,2,16,3,2,3,1,1,3,7,5,7,12,2
17400,23,1,14,10,14,2,26,7,3,4,1,2,3,8,2,3,39,3
18501,25,0,21,4,24,4,45,14,3,3,0,4,0,16,0,0,65,11
18600,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19200,39,2,18,3,14,6,50,11,4,4,0,1,0,10,2,1,4,15
19800,33,2,19,5,12,13,22,34,6,7,0,1,0,13,6,3,8,10
21146,39,2,21,9,30,28,44,47,16,14,0,0,3,35,27,8,29,31
21150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21914,53,1,17,8,24,14,21,41,7,6,0,0,2,12,4,1,5,3
22812,51,16,12,10,28,14,36,41,19,6,0,0,5,35,11,5,15,19
25364,65,16,31,40,65,19,65,59,41,8,0,0,36,55,30,23,63,24
25367,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25452,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
26620,14,7,5,14,17,7,24,14,3,0,0,0,0,2,0,0,0,0
30237,65,25,65,61,65,44,65,65,51,36,39,11,50,42,6,49,57,46
30240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35416,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
